feedback_id,true_theme,true_polarity
FB-00001,dark_mode,neutral
FB-00002,dark_mode,neutral
FB-00003,sso_saml,neutral
FB-00004,slack_integration,neutral
FB-00005,slack_integration,neutral
FB-00006,notifications,negative
FB-00007,notifications,negative
FB-00008,notifications,negative
FB-00009,onboarding,negative
FB-00010,onboarding,negative
FB-00011,onboarding,negative
FB-00012,calendar_sync,negative
FB-00013,mobile_performance,negative
FB-00014,mobile_performance,negative
FB-00015,mobile_performance,negative
FB-00016,dark_mode,neutral
FB-00017,dark_mode,neutral
FB-00018,dark_mode,neutral
FB-00019,dark_mode,neutral
FB-00020,sso_saml,neutral
FB-00021,sso_saml,neutral
FB-00022,slack_integration,neutral
FB-00023,notifications,negative
FB-00024,export_reporting,neutral
FB-00025,praise,positive
FB-00026,calendar_sync,negative
FB-00027,mobile_performance,negative
FB-00028,dark_mode,neutral
FB-00029,dark_mode,neutral
FB-00030,sso_saml,neutral
FB-00031,pricing,negative
FB-00032,pricing,negative
FB-00033,pricing,negative
FB-00034,notifications,negative
FB-00035,export_reporting,neutral
FB-00036,export_reporting,neutral
FB-00037,export_reporting,neutral
FB-00038,onboarding,negative
FB-00039,onboarding,negative
FB-00040,onboarding,negative
FB-00041,onboarding,negative
FB-00042,praise,positive
FB-00043,praise,positive
FB-00044,calendar_sync,negative
FB-00045,calendar_sync,negative
FB-00046,calendar_sync,negative
FB-00047,mobile_performance,negative
FB-00048,dark_mode,neutral
FB-00049,dark_mode,neutral
FB-00050,timezone,negative
FB-00051,onboarding,negative
FB-00052,onboarding,negative
FB-00053,praise,positive
FB-00054,mobile_performance,negative
FB-00055,dark_mode,neutral
FB-00056,pricing,negative
FB-00057,timezone,negative
FB-00058,slack_integration,neutral
FB-00059,export_reporting,neutral
FB-00060,onboarding,negative
FB-00061,recurring_events,negative
FB-00062,calendar_sync,negative
FB-00063,mobile_performance,negative
FB-00064,timezone,negative
FB-00065,timezone,negative
FB-00066,slack_integration,neutral
FB-00067,praise,positive
FB-00068,calendar_sync,negative
FB-00069,mobile_performance,negative
FB-00070,pricing,negative
FB-00071,export_reporting,neutral
FB-00072,export_reporting,neutral
