feedback_id,created_at,channel,account_id,rating,text
LZ-00013,2026-01-05 08:58:44,app_store,U-01602,4.0,Apple Pay'e eklenebilse telefonu açmadan ödeme yapardım. Yol haritanızda var mı?
LZ-00011,2026-01-05 10:21:01,support_ticket,U-01155,,"Selam, Her gün öğle yemeğinde kullanıyorum. Akıllı saatle ödeme yapabilmek harika oludru. Teşekkürler. Saygılarımla, Ece"
LZ-00012,2026-01-05 10:32:30,app_store,U-01009,3.0,Google Pay entegrasyonu olsa çok pratik olur.
LZ-00014,2026-01-05 10:37:57,app_store,U-00122,5.0,Yemek kartı uygulamaları arasında en iyisi. Başarılar!
LZ-00001,2026-01-05 11:14:16,app_store,U-01210,3.0,"Temassiz odeme bazen geciyor bazen gecmiyor, guvenemiyorum. Donusunuzu bekliyorum."
LZ-00015,2026-01-05 12:31:16,app_store,U-01195,5.0,"Lezzo odeme saniyeler icinde bitiyor, cok memnunum."
LZ-00003,2026-01-05 13:46:28,support_ticket,U-00719,,"İyi günler, E-posta adresim zeynep.a@example.com. Bu ay bakiyem geç yüklendi, iki gün yemek kartsız kaldım. Saygılarımla, Emre"
LZ-00002,2026-01-05 14:52:21,app_store,U-01716,2.0,Bakiye yuklendi bildirimi geldi ama uygulamada eski bakiye duruyor. Rezalet.
LZ-00007,2026-01-05 16:04:22,support_ticket,U-00090,,"Selam, Telefon numaram 0500 000 89 01, beni arayabilirsiniz. Evimin ve iş yerimin yakınında kartın geçtiği restoran yok. Teşekkürler. Teşekkürler, Ece"
LZ-00006,2026-01-05 17:04:28,app_store,U-01649,3.0,Lezzo kahve zincirlerinde de gecerli olsa harika olur. Yol haritanizda var mi?
LZ-00009,2026-01-05 19:02:20,survey,U-02088,4.0,"Uygulama surekli donuyor, kapatip acmam gerekiyor. Ayrica her acilista tekrar tekrar SMS kodu istiyor."
LZ-00010,2026-01-05 21:03:31,app_store,U-00943,4.0,"Gece kullanirken beyaz ekran goz yoruyor, karanlik tema lutfen. Degerlendirirseniz sevinirim."
LZ-00004,2026-01-05 22:11:59,app_store,U-02030,2.0,Maas gunu geldi ama yemek bakiyem hala yuklenmedi. Ayrica Oppo telefonumda acilista cokuyor.
LZ-00008,2026-01-05 22:17:41,app_store,U-02014,4.0,yemek siparisi uygulamalarinda da kullanilabilse harika olur. degerlendirirseniz sevinirim.
LZ-00005,2026-01-05 22:29:32,app_store,U-01042,3.0,Restoran ağı genişlerse kartı çok daha fazla kullanırım.
LZ-00028,2026-01-06 09:07:37,survey,U-02116,5.0,Akilli saalte odeme yapabilmek harika olurdu.
LZ-00029,2026-01-06 09:30:19,support_ticket,U-00486,,"Telefon numaram 0500 000 89 01, beni arayabilirsiniz. İptal edilen sipraişin iadesi hala bakiyeme yansımadı. Rezalet. - Deniz"
LZ-00017,2026-01-06 09:37:22,support_ticket,U-01088,,"İyi günler, Sevdiğim kafeler anlaşmalı değil, lütfen daha fazla restoran ekleyin. Teşekkürler. İyi çalışmalar, Ece"
LZ-00026,2026-01-06 11:31:24,support_ticket,U-01519,,"Selam, Karanlık mod seçeneği yok mu? Değerlendirirseniz sevinirim. İyi çalışmalar, Ece"
LZ-00024,2026-01-06 12:04:24,app_store,U-02384,1.0,"Uygulama cok yavas aciliyor, kasada sirayi bekletiyorum. Lutfen acilen cozun."
LZ-00020,2026-01-06 14:36:49,survey,U-01697,5.0,"Anlaşmalı restoran sayısı çok az, Ataşehir tarafında neredeyse hiç yer yok. Ayrıca restoran ödemeyi iptal etti ama para geri gelmedi."
LZ-00023,2026-01-06 15:38:02,support_ticket,U-01226,,"Yalkaşık 18 aydır kullanıcınızım. Ana sayfanın yüklenmesi yarım dakika sürüyor. Lütfen acilen çözün. Saygılarımla, Mert"
LZ-00018,2026-01-06 16:46:15,survey,U-00933,8.0,Restoran ağı genişlerse kartı çok daha fazla kullanırım.
LZ-00021,2026-01-06 16:58:33,app_store,U-01045,4.0,Market alisverisinde de kullanilabilse cok iyi olur. Tesekkurler.
LZ-00030,2026-01-06 17:31:50,support_ticket,U-00465,,İptal edilen siparişin iadesi hala bakiymee yansımadı. Rezalet. - Ece
LZ-00019,2026-01-06 17:35:17,app_store,U-02313,3.0,Market alisverisinde de kullanilabilse cok iyi olur.
LZ-00027,2026-01-06 21:02:48,survey,U-01441,7.0,Apple Pay'e eklenebilse telefonu açmadan ödeme yapardım.
LZ-00016,2026-01-06 21:19:26,app_store,U-02291,2.0,"Kamera QR kodu okumuyor, sürekli odaklanmaya çalışıyor. Lütfen acilen çözün."
