feedback_id,true_theme,true_polarity
LZ-00001,nfc_payment,negative
LZ-00002,balance_loading,negative
LZ-00003,balance_loading,negative
LZ-00004,balance_loading,negative
LZ-00005,restaurant_network,neutral
LZ-00006,restaurant_network,neutral
LZ-00007,restaurant_network,neutral
LZ-00008,restaurant_network,neutral
LZ-00009,app_performance,negative
LZ-00010,dark_mode,neutral
LZ-00011,wallet,neutral
LZ-00012,wallet,neutral
LZ-00013,wallet,neutral
LZ-00014,praise,positive
LZ-00015,praise,positive
LZ-00016,qr_payment,negative
LZ-00017,restaurant_network,neutral
LZ-00018,restaurant_network,neutral
LZ-00019,restaurant_network,neutral
LZ-00020,restaurant_network,neutral
LZ-00021,restaurant_network,neutral
LZ-00022,app_performance,negative
LZ-00023,app_performance,negative
LZ-00024,app_performance,negative
LZ-00025,map_search,negative
LZ-00026,dark_mode,neutral
LZ-00027,wallet,neutral
LZ-00028,wallet,neutral
LZ-00029,refund,negative
LZ-00030,refund,negative
LZ-00031,balance_loading,negative
LZ-00032,restaurant_network,neutral
LZ-00033,restaurant_network,neutral
LZ-00034,restaurant_network,neutral
LZ-00035,restaurant_network,neutral
LZ-00036,restaurant_network,neutral
LZ-00037,restaurant_network,neutral
LZ-00038,app_performance,negative
LZ-00039,app_performance,negative
LZ-00040,map_search,negative
LZ-00041,wallet,neutral
LZ-00042,customer_support,negative
LZ-00043,customer_support,negative
LZ-00044,refund,negative
LZ-00045,refund,negative
LZ-00046,praise,positive
LZ-00047,qr_payment,negative
LZ-00048,restaurant_network,neutral
LZ-00049,restaurant_network,neutral
LZ-00050,restaurant_network,neutral
LZ-00051,restaurant_network,neutral
LZ-00052,restaurant_network,neutral
LZ-00053,restaurant_network,neutral
LZ-00054,app_performance,negative
LZ-00055,app_performance,negative
LZ-00056,app_performance,negative
LZ-00057,balance_expiry,negative
LZ-00058,qr_payment,negative
LZ-00059,qr_payment,negative
LZ-00060,balance_loading,negative
LZ-00061,restaurant_network,neutral
LZ-00062,login,negative
LZ-00063,app_performance,negative
LZ-00064,map_search,negative
LZ-00065,map_search,negative
LZ-00066,wallet,neutral
LZ-00067,wallet,neutral
LZ-00068,balance_expiry,negative
LZ-00069,praise,positive
LZ-00070,praise,positive
LZ-00071,praise,positive
LZ-00072,qr_payment,negative
LZ-00073,qr_payment,negative
LZ-00074,nfc_payment,negative
LZ-00075,nfc_payment,negative
LZ-00076,restaurant_network,neutral
LZ-00077,app_performance,negative
LZ-00078,app_performance,negative
LZ-00079,app_performance,negative
LZ-00080,dark_mode,neutral
LZ-00081,customer_support,negative
LZ-00082,customer_support,negative
LZ-00083,praise,positive
LZ-00084,qr_payment,negative
LZ-00085,nfc_payment,negative
LZ-00086,balance_loading,negative
LZ-00087,restaurant_network,neutral
LZ-00088,restaurant_network,neutral
LZ-00089,restaurant_network,neutral
LZ-00090,restaurant_network,neutral
LZ-00091,login,negative
LZ-00092,app_performance,negative
LZ-00093,app_performance,negative
LZ-00094,app_performance,negative
LZ-00095,wallet,neutral
LZ-00096,customer_support,negative
LZ-00097,customer_support,negative
LZ-00098,refund,negative
LZ-00099,praise,positive
LZ-00100,qr_payment,negative
LZ-00101,balance_loading,negative
LZ-00102,balance_loading,negative
LZ-00103,restaurant_network,neutral
LZ-00104,restaurant_network,neutral
LZ-00105,restaurant_network,neutral
LZ-00106,restaurant_network,neutral
LZ-00107,restaurant_network,neutral
LZ-00108,app_performance,negative
LZ-00109,app_performance,negative
LZ-00110,app_performance,negative
LZ-00111,app_performance,negative
LZ-00112,app_performance,negative
LZ-00113,map_search,negative
LZ-00114,wallet,neutral
LZ-00115,wallet,neutral
LZ-00116,balance_expiry,negative
LZ-00117,qr_payment,negative
LZ-00118,qr_payment,negative
LZ-00119,qr_payment,negative
LZ-00120,balance_loading,negative
LZ-00121,login,negative
LZ-00122,login,negative
LZ-00123,app_performance,negative
LZ-00124,app_performance,negative
LZ-00125,app_performance,negative
LZ-00126,map_search,negative
LZ-00127,map_search,negative
LZ-00128,dark_mode,neutral
LZ-00129,wallet,neutral
LZ-00130,balance_expiry,negative
LZ-00131,balance_expiry,negative
LZ-00132,customer_support,negative
LZ-00133,customer_support,negative
LZ-00134,nfc_payment,negative
LZ-00135,balance_loading,negative
LZ-00136,restaurant_network,neutral
LZ-00137,restaurant_network,neutral
LZ-00138,restaurant_network,neutral
LZ-00139,login,negative
LZ-00140,login,negative
LZ-00141,dark_mode,neutral
LZ-00142,dark_mode,neutral
LZ-00143,balance_expiry,negative
LZ-00144,customer_support,negative
LZ-00145,customer_support,negative
LZ-00146,refund,negative
LZ-00147,praise,positive
LZ-00148,qr_payment,negative
LZ-00149,nfc_payment,negative
LZ-00150,restaurant_network,neutral
LZ-00151,restaurant_network,neutral
LZ-00152,restaurant_network,neutral
LZ-00153,login,negative
LZ-00154,app_performance,negative
LZ-00155,app_performance,negative
LZ-00156,app_performance,negative
LZ-00157,app_performance,negative
LZ-00158,app_performance,negative
LZ-00159,map_search,negative
LZ-00160,dark_mode,neutral
LZ-00161,dark_mode,neutral
LZ-00162,wallet,neutral
LZ-00163,wallet,neutral
LZ-00164,customer_support,negative
LZ-00165,customer_support,negative
LZ-00166,praise,positive
LZ-00167,praise,positive
LZ-00168,qr_payment,negative
LZ-00169,qr_payment,negative
LZ-00170,balance_loading,negative
LZ-00171,restaurant_network,neutral
LZ-00172,restaurant_network,neutral
LZ-00173,restaurant_network,neutral
LZ-00174,app_performance,negative
LZ-00175,map_search,negative
LZ-00176,map_search,negative
LZ-00177,dark_mode,neutral
LZ-00178,wallet,neutral
LZ-00179,wallet,neutral
LZ-00180,balance_expiry,negative
LZ-00181,balance_expiry,negative
LZ-00182,praise,positive
LZ-00183,praise,positive
LZ-00184,qr_payment,negative
LZ-00185,nfc_payment,negative
LZ-00186,nfc_payment,negative
LZ-00187,balance_loading,negative
LZ-00188,balance_loading,negative
LZ-00189,balance_loading,negative
LZ-00190,app_performance,negative
LZ-00191,dark_mode,neutral
LZ-00192,refund,negative
LZ-00193,refund,negative
LZ-00194,balance_loading,negative
LZ-00195,balance_loading,negative
LZ-00196,restaurant_network,neutral
LZ-00197,app_performance,negative
LZ-00198,app_performance,negative
LZ-00199,app_performance,negative
LZ-00200,app_performance,negative
LZ-00201,wallet,neutral
LZ-00202,wallet,neutral
LZ-00203,balance_expiry,negative
LZ-00204,customer_support,negative
LZ-00205,customer_support,negative
LZ-00206,praise,positive
LZ-00207,qr_payment,negative
LZ-00208,qr_payment,negative
LZ-00209,qr_payment,negative
LZ-00210,qr_payment,negative
LZ-00211,nfc_payment,negative
LZ-00212,balance_loading,negative
LZ-00213,restaurant_network,neutral
LZ-00214,restaurant_network,neutral
LZ-00215,login,negative
LZ-00216,login,negative
LZ-00217,app_performance,negative
LZ-00218,map_search,negative
LZ-00219,dark_mode,neutral
LZ-00220,dark_mode,neutral
LZ-00221,wallet,neutral
LZ-00222,wallet,neutral
LZ-00223,wallet,neutral
LZ-00224,wallet,neutral
LZ-00225,balance_expiry,negative
LZ-00226,customer_support,negative
LZ-00227,praise,positive
LZ-00228,qr_payment,negative
LZ-00229,qr_payment,negative
LZ-00230,qr_payment,negative
LZ-00231,nfc_payment,negative
LZ-00232,balance_loading,negative
LZ-00233,balance_loading,negative
LZ-00234,balance_loading,negative
LZ-00235,restaurant_network,neutral
LZ-00236,restaurant_network,neutral
LZ-00237,restaurant_network,neutral
LZ-00238,restaurant_network,neutral
LZ-00239,restaurant_network,neutral
LZ-00240,login,negative
LZ-00241,wallet,neutral
LZ-00242,customer_support,negative
LZ-00243,customer_support,negative
