rank,theme_id,name,kind,score,c_reach,c_revenue,c_severity,c_momentum,mentions,mentions_all_time,accounts,mrr_weighted,arr_exposed,mean_sentiment,negative_share,status,lift,q_value,vote_rank,headline
1.0,T02,Kasada QR okutuyorum ama ödeme bir türlü geçmiyor,bug,98.58502781540783,0.9740215340114143,0.0,0.9864864864864865,1.0,74,130,74,0.0,0.0,-0.752890510146469,0.9864864864864865,emerging,4.609967497291441,2.2859890883040074e-11,2.0,Kasada QR okutuyorum ama ödeme bir türlü geçmiyor
2.0,T03,QR okuttuktan sonra uygulama beyaz ekranda kalıyor,bug,94.48585927854356,1.0,0.0,0.8974358974358975,0.9233545291167682,78,130,78,0.0,0.0,-0.5462865289511385,0.8974358974358975,emerging,3.596787827557058,4.8495936717780566e-09,1.0,QR okuttuktan sonra uygulama beyaz ekranda kalıyor
3.0,T14,"Kamera QR kodu okumuyor, sürekli odaklanmaya çalışıyor",bug,84.03038657873341,0.6698641270570836,0.0,1.0,0.893657404987481,35,61,35,0.0,0.0,-0.6689920709935567,1.0,emerging,3.451718494271686,0.0001924444690063497,6.0,"Kamera QR kodu okumuyor, sürekli odaklanmaya çalışıyor"
4.0,T12,Ödeme onaylandı diyor ama restoranın cihazına düşmüyor,bug,80.8427296712651,0.6979824404521128,0.0,0.9736842105263158,0.781226453224659,38,69,38,0.0,0.0,-0.6748309521562499,0.9736842105263158,emerging,2.9535558780841797,0.0011522787338337924,5.0,Ödeme onaylandı diyor ama restoranın cihazına düşmüyor
5.0,T17,"QR ödemesi iki kere çekildi, bakiyemden iki kez düştü",bug,73.46686604124223,0.5661385170722979,0.0,0.68,1.0,25,55,25,0.0,0.0,-0.4231173743886384,0.68,emerging,4.416445623342175,0.00016208146790246974,13.0,"QR ödemesi iki kere çekildi, bakiyemden iki kez düştü"
6.0,T04,Haritada restoranlar yanlış konumda gösteriliyor,bug,55.25753384649303,0.6602252917735247,0.0,0.9705882352941176,0.0,34,115,34,0.0,0.0,-0.5941956672423515,0.9705882352941176,stable,0.5897435897435896,0.47103013419250955,7.0,Haritada restoranlar yanlış konumda gösteriliyor
7.0,T05,"Uygulama çok yavaş açılıyor, kasada sırayı bekletiyorum",bug,53.1601398739869,0.609749843620211,0.0,0.9655172413793104,0.0,29,114,29,0.0,0.0,-0.6824407160463694,0.9655172413793104,stable,0.6117900790797987,0.5014257424935448,10.0,"Uygulama çok yavaş açılıyor, kasada sırayı bekletiyorum"
8.0,T07,"Bu ay bakiyem geç yüklendi, iki gün yemek kartsız kaldım",bug,51.946693053826195,0.6979824404521128,0.0,0.8157894736842105,0.0,38,107,38,0.0,0.0,-0.48303583477935746,0.8157894736842105,stable,1.0637140637140636,1.0,4.0,"Bu ay bakiyem geç yüklendi, iki gün yemek kartsız kaldım"
9.0,T16,Uygulama çok fazla pil tüketiyor,ux,49.97921217406397,0.5883484054145521,0.0,0.8888888888888888,0.0,27,58,27,0.0,0.0,-0.5656697430896677,0.8888888888888888,stable,1.1902097902097901,1.0,11.0,Uygulama çok fazla pil tüketiyor
10.0,T11,Oppo telefonumda açılışta çöküyor,bug,49.42471449545898,0.5773502691896257,0.0,0.8846153846153846,0.0,26,72,26,0.0,0.0,-0.6493648165983756,0.8846153846153846,stable,0.7022977022977023,0.7833318020624555,12.0,Oppo telefonumda açılışta çöküyor
11.0,T22,Canlı destek hiç cevap vermiyor,ux,48.724991573997166,0.46684978092392626,0.0,1.0,0.0,17,51,17,0.0,0.0,-0.7177400478230345,1.0,stable,0.9487179487179486,1.0,19.0,Canlı destek hiç cevap vermiyor
